OrderID,OrderDate,Region,Category,SubCategory,Sales,Profit,Quantity
1001,2023-01-01,East,Furniture,Chair,200,20,2
1002,2023-01-02,West,Technology,Phone,500,80,3
1003,2023-01-03,South,Office Supplies,Paper,150,15,5
1004,2023-01-04,North,Furniture,Table,300,25,2
1005,2023-01-05,East,Technology,Laptop,1200,200,1
1006,2023-01-06,West,Office Supplies,Pen,50,5,10
1007,2023-01-07,South,Furniture,Sofa,700,90,1
1008,2023-01-08,North,Technology,Tablet,400,60,2
1009,2023-01-09,East,Office Supplies,Notebook,100,10,4
1010,2023-01-10,West,Furniture,Chair,250,30,3
1011,2023-01-11,South,Technology,Phone,600,100,2
1012,2023-01-12,North,Office Supplies,Paper,200,20,6
1013,2023-01-13,East,Furniture,Table,350,40,2
1014,2023-01-14,West,Technology,Laptop,1300,220,1
1015,2023-01-15,South,Office Supplies,Pen,80,8,12
1016,2023-01-16,North,Furniture,Chair,220,25,2
1017,2023-01-17,East,Technology,Tablet,450,70,2
1018,2023-01-18,West,Office Supplies,Notebook,120,12,5
1019,2023-01-19,South,Furniture,Sofa,800,100,1
1020,2023-01-20,North,Technology,Phone,550,85,3
1021,2023-01-21,East,Office Supplies,Paper,180,18,6
1022,2023-01-22,West,Furniture,Table,320,35,2
1023,2023-01-23,South,Technology,Laptop,1100,180,1
1024,2023-01-24,North,Office Supplies,Pen,60,6,8
1025,2023-01-25,East,Furniture,Chair,270,30,3
1026,2023-01-26,West,Technology,Tablet,480,75,2
1027,2023-01-27,South,Office Supplies,Notebook,130,13,4
1028,2023-01-28,North,Furniture,Sofa,750,95,1
1029,2023-01-29,East,Technology,Phone,620,95,2
1030,2023-01-30,West,Office Supplies,Paper,210,22,7